CS_Site_Short_Name,CS_Site_Long_Name,CS_Latitude,CS_Longitude,NGA_Station_Name,NGA_Station_ID,NGA_Latitude,NGA_Longitude,Distance_km,Match_Type
MOP,Moorpark,34.28085,-118.9049,Moorpark,MOP,34.28085,-118.9049,0.0,Name Match
OSI,Osito Audit: Castaic Lake Dam,34.6145,-118.7235,Osito Audit: Castaic Lake Dam,OSI,34.6145,-118.7235,0.0,Name Match
WSS,West Side Station,34.1717,-118.64971,West Side Station,WSS,34.1717,-118.6497,0.000919980233777,Name Match
SBSM,San Bernardino Strong Motion,34.064986,-117.29201,San Bernardino - E & Hospitality,23542,34.065,-117.292,0.0018088414286584,Proximity Match
PDU,Padua,34.1207,-117.63808,Padua,PDU,34.1207,-117.6381,0.0018410715940233,Name Match
LGB,Laguna Bell,33.9753,-118.14918,Laguna Bell,LGB,33.9753,-118.1492,0.0018442313765701,Name Match
OLI,Olinda,33.94539,-117.92372,Olinda,OLI,33.94539,-117.9237,0.0018448798981541,Name Match
RPV,Rancho Palos Verdes,33.74346,-118.40412,Rancho Palos Verdes,RPV,33.74346,-118.4041,0.0018492450707069,Name Match
OLI,Olinda,33.94539,-117.92372,Olinda,OLI,33.9454,-117.9237,0.0021540688495656,Name Match
HLL,North Hollywood,34.17643,-118.35967,North Hollywood,HLL,34.17643,-118.3597,0.0027597860182091,Name Match
LGU,Laguna Peak,34.10819,-119.06587,Laguna Peak,LGU,34.10819,-119.0659,0.0027620158840491,Name Match
LAF,La Fresa,33.86889,-118.33143,La Fresa,LAF,33.86889,-118.3314,0.0027698044736102,Name Match
LGU,Laguna Peak,34.10819,-119.06587,Laguna Peak,LGU,34.1082,-119.0659,0.0029774421928743,Name Match
LAF,La Fresa,33.86889,-118.33143,La Fresa,LAF,33.8689,-118.3314,0.0029846686739471,Name Match
ALP,Antelope,34.68708,-118.29946,Antelope,ALP,34.68708,-118.2995,0.0036573007270854,Name Match
RIO,Rio Hondo,34.10473,-117.97956,Rio Hondo,RIO,34.10473,-117.9796,0.0036828384570427,Name Match
DLA,Del Amo,33.84822,-118.09624,Del Amo,DLA,33.84822,-118.0962,0.0036939666190303,Name Match
BRE,Barre Substation,33.80776,-117.98116,Barre Substation,BRE,33.80776,-117.9812,0.0036957151389823,Name Match
PLS,Pleasants Peak,33.7953,-117.60906,Pleasants Peak,PLS,33.7953,-117.6091,0.0036962532370539,Name Match
ALP,Antelope,34.68708,-118.29946,Antelope,ALP,34.6871,-118.2995,0.0042803703180565,Name Match
DLA,Del Amo,33.84822,-118.09624,Del Amo,DLA,33.8482,-118.0962,0.0043117417895521,Name Match
HLL,North Hollywood,34.17643,-118.35967,North Hollywood,HLL,34.1764,-118.3597,0.0043294690341319,Name Match
COO,Compton,33.89604,-118.21639,Compton,COO,33.896,-118.2164,0.0045425522454865,Name Match
PDE,Pardee,34.44199,-118.58215,Pardee,PDE,34.44199,-118.5822,0.0045851185347541,Name Match
PDE,Pardee,34.44199,-118.58215,Pardee,PDE,34.442,-118.5822,0.004718022958238,Name Match
RPV,Rancho Palos Verdes,33.74346,-118.40412,Rancho Palos Verdes,RPV,33.7435,-118.4041,0.0048169081861955,Name Match
RIO,Rio Hondo,34.10473,-117.97956,Rio Hondo,RIO,34.1047,-117.9796,0.0049690224846697,Name Match
MOP,Moorpark,34.28085,-118.9049,Moorpark,MOP,34.2809,-118.9049,0.0055597463322841,Name Match
TAB,Table Mountain,34.38245,-117.68191,Table Mountain B,TAB,34.3825,-117.6819,0.0056349719930551,Name Match
BRE,Barre Substation,33.80776,-117.98116,Barre Substation,BRE,33.8078,-117.9812,0.0057828369111386,Name Match
PAS,Pasadena,34.148426,-118.17119,Pasadena (PASA),PASA,34.1484,-118.1711,0.0087722035090171,Name Match
PAS,Pasadena,34.148426,-118.17119,Pasadena - Old Seismo Lab,266,34.1486,-118.171,0.0260777113446921,Name Match
USC,University of Southern California,34.0192,-118.286,Univ Southern Ca,USC,34.0192,-118.2863,0.0276491791097193,Proximity Match
USC,University of Southern California,34.0192,-118.286,Univ Southern Ca,USC,34.01919,-118.2863,0.0276715309781294,Proximity Match
STG,Santiago,33.664,-117.76856,Santiago,stg,33.664,-117.769,0.0407210425550876,Name Match
CHN,Chino,33.99879,-117.68044,Chino,chn,33.999,-117.68,0.0468030766505378,Name Match
SVD,Seven Oaks Dam,34.10647,-117.09822,"Mentone, Greenspot Rd.",svd,34.106,-117.098,0.0560495464624364,Proximity Match
PAS,Pasadena,34.148426,-118.17119,Pasadena - CIT Kresge Lab,80054,34.149,-118.171,0.0661773952751881,Name Match
